Customer,State,Claim Amount,Coverage
GI30974,Iowa,R1,Basic
NE67816,Iowa,R1,Basic
ZK25313,Iowa,R1,Basic
VY32314,Iowa,R1,Basic
SK67821,Iowa,R1,Basic
JU64043,Iowa,R1,Basic
XZ87318,Iowa,R1,Basic
ZE59592,Iowa,R1,Basic
WC83389,Iowa,R1,Basic
DL55489,Iowa,R1,Basic
FS42516,Iowa,R1,Basic
SD62061,Iowa,R1,Basic
GF59560,Iowa,R1,Basic
VW34309,Iowa,R1,Basic
NP88319,Iowa,R1,Basic
BW63560,Iowa,R1,Basic
RS92763,Iowa,R1,Basic
XL66550,Iowa,R1,Basic
RI78966,Iowa,R1,Basic
MK92016,Iowa,R1,Basic
OC83172,Iowa,R1,Basic
WF75492,Iowa,R1,Basic
ZO43755,Iowa,R1,Basic
KA13067,Iowa,R1,Basic
DY87989,Iowa,R1,Basic
QS81789,Iowa,R1,Basic
KB44286,Iowa,R2,Basic
EJ77678,Iowa,R1,Extended
NI68379,Iowa,R1,Extended
MP68135,Iowa,R1,Extended
IZ27630,Iowa,R1,Extended
LH94971,Iowa,R1,Extended
BQ94931,Iowa,R1,Extended
QB24570,Iowa,R1,Extended
LR37068,Iowa,R1,Extended
XI31845,Iowa,R1,Extended
MJ77630,Iowa,R2,Extended
QT84069,Iowa,R2,Extended
WZ98067,Iowa,R1,Premium
LR35392,Iowa,R1,Premium
RP30093,Iowa,R2,Premium
RI85578,Kansas,R1,Basic
AX86150,Kansas,R1,Basic
QZ77637,Kansas,R1,Basic
ER19995,Kansas,R1,Basic
FQ83162,Kansas,R2,Basic
JT41591,Kansas,R1,Extended
HE15857,Kansas,R1,Extended
GK92563,Kansas,R1,Extended
AF17671,Kansas,R1,Extended
NG85002,Kansas,R1,Extended
SA25987,Kansas,R1,Premium
FF31523,Kansas,R1,Premium
DM95829,Missouri,R1,Basic
LN26837,Missouri,R1,Basic
RA49085,Missouri,R1,Basic
UK76891,Missouri,R1,Basic
BW52697,Missouri,R1,Basic
BL55947,Missouri,R1,Basic
DB91647,Missouri,R1,Basic
EG21289,Missouri,R1,Basic
FV19421,Missouri,R1,Basic
DO83038,Missouri,R1,Basic
RA87395,Missouri,R1,Basic
BW51534,Missouri,R1,Basic
VJ83206,Missouri,R1,Basic
XW89091,Missouri,R1,Basic
ZZ91716,Missouri,R1,Extended
IJ36435,Missouri,R1,Extended
BL93659,Missouri,R1,Extended
DX34647,Missouri,R1,Extended
UK70255,Missouri,R2,Extended
DM76654,Missouri,R2,Extended
RO30676,Missouri,R1,Premium
FO99259,Missouri,R1,Premium
UY18770,Missouri,R1,Premium
LW64678,Missouri,R2,Premium
KI58952,Missouri,R2,Premium
LB81265,Nebraska,R1,Basic
JI25066,Nebraska,R1,Basic
RY38931,Nebraska,R1,Basic
LF41085,Nebraska,R1,Basic
DH25145,Nebraska,R1,Basic
VE51810,Nebraska,R1,Basic
HI16472,Nebraska,R1,Basic
MI62456,Nebraska,R1,Extended
XM11175,Nebraska,R1,Extended
EL61402,Nebraska,R1,Extended
NX31380,Nebraska,R1,Extended
VK37392,Nebraska,R1,Extended
BR50492,Nebraska,R2,Extended
RX50446,Nebraska,R1,Premium
XX29952,Nebraska,R1,Premium
SB66770,Nebraska,R1,Premium
TN90661,Oklahoma,R1,Basic
QR79788,Oklahoma,R1,Basic
SE86346,Oklahoma,R1,Basic
GF38306,Oklahoma,R1,Extended
CP92616,Oklahoma,R2,Extended
LU42720,Oklahoma,R2,Extended
